2025-07-06 13:34:46.702530 | USB access denied | Intruder
2025-07-06 13:34:53.026776 | Photo captured | Success
2025-07-06 13:34:55.833613 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d9443c01a7336-23c8431a1f0sm62138855ad.32 - gsmtp') | Fail
2025-07-13 07:48:42.029735 | Monitor started | Info
2025-07-13 07:52:07.962846 | Monitor started | Info
2025-07-13 07:52:10.297130 | Fatal error: unsupported operand type(s) for -: 'set' and 'NoneType' | Fail
2025-07-13 07:57:01.381960 | Monitor started | Info
2025-07-13 08:02:01.190658 | Monitor started | Info
2025-07-13 08:07:58.563845 | Monitor started | Info
2025-07-13 08:08:13.635253 | USB event: 2 | Detected
2025-07-13 08:08:13.637412 | USB insertion detected: G | Processing
2025-07-13 08:08:19.013077 | Could not find volume number for G | Fail
2025-07-13 08:08:32.498426 | USB access denied | Intruder
2025-07-13 08:08:38.534346 | Photo captured | Success
2025-07-13 08:08:43.191632 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 98e67ed59e1d1-31c3e973e75sm8079920a91.16 - gsmtp') | Fail
2025-07-13 08:25:05.154608 | Monitor started | Info
2025-07-13 08:25:28.790609 | USB device detected: USB_Hub_USB Mass Storage Device | Hardware
2025-07-13 08:25:29.752435 | USB device without drive letter: USB_Hub_USB Mass Storage Device | Info
2025-07-13 08:26:19.296756 | USB device detected: USB_Hub_USB Mass Storage Device | Hardware
2025-07-13 08:26:20.167873 | USB device without drive letter: USB_Hub_USB Mass Storage Device | Info
2025-07-13 08:27:07.553170 | Monitor started | Info
2025-07-13 08:33:42.990545 | Monitor started | Info
2025-07-13 08:34:24.290361 | USB inserted | Detected
2025-07-13 08:34:28.803908 | Could not find volume number for G | Fail
2025-07-13 08:34:37.065084 | USB access denied | Intruder
2025-07-13 08:34:42.938966 | Photo captured | Success
2025-07-13 08:34:46.025926 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d9443c01a7336-23de4341ff6sm72151155ad.176 - gsmtp') | Fail
2025-07-13 08:35:14.632466 | USB inserted | Detected
2025-07-13 08:35:45.217623 | Could not find volume number for G | Fail
2025-07-13 08:36:49.378688 | Monitor started | Info
2025-07-13 08:36:52.689211 | USB inserted | Detected
2025-07-13 08:36:58.074155 | Could not find volume number for G | Fail
2025-07-13 08:37:24.384294 | Fatal error: NextEvent.VolumeName | Fail
2025-07-13 08:37:33.901270 | USB inserted | Detected
2025-07-13 08:37:38.680201 | Could not find volume number for G | Fail
2025-07-13 08:37:43.939103 | USB access denied | Intruder
2025-07-13 08:37:49.362292 | Photo captured | Success
2025-07-13 08:37:52.182268 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d9443c01a7336-23de43227b7sm69064205ad.106 - gsmtp') | Fail
2025-07-14 20:14:26.189186 | Monitor started | Info
2025-07-14 20:14:43.465551 | USB inserted | Detected
2025-07-14 20:14:48.695976 | Could not find volume number for G | Fail
2025-07-14 20:15:33.923506 | USB inserted | Detected
2025-07-14 20:15:37.856208 | Could not find volume number for G | Fail
2025-07-14 20:18:29.290913 | Monitor started | Info
2025-07-14 20:18:47.022987 | USB inserted | Detected
2025-07-14 20:18:57.582351 | Could not find volume number for G | Fail
2025-07-14 20:23:15.533625 | Monitor started | Info
2025-07-14 20:23:22.684282 | USB inserted | Detected
